ds,y
,AAPL
2023-08-10,175.83558654785156
2023-08-11,175.8949432373047
2023-08-14,177.54714965820312
2023-08-15,175.55856323242188
2023-08-16,174.6879425048828
2023-08-17,172.14535522460938
2023-08-18,172.63015747070312
2023-08-21,173.96571350097656
2023-08-22,175.3408966064453
2023-08-23,179.18942260742188
2023-08-24,174.5
2023-08-25,176.7062225341797
2023-08-28,178.2693328857422
2023-08-29,182.15744018554688
2023-08-30,185.6498260498047
2023-08-31,185.86749267578125
2023-09-01,187.4405517578125
2023-09-05,187.677978515625
2023-09-06,180.96038818359375
2023-09-07,175.6674041748047
2023-09-08,176.28077697753906
2023-09-11,177.4481964111328
2023-09-12,174.42080688476562
2023-09-13,172.3531036376953
2023-09-14,173.86679077148438
2023-09-15,173.14454650878906
2023-09-18,176.07302856445312
2023-09-19,177.16128540039062
2023-09-20,173.6194610595703
2023-09-21,172.07608032226562
2023-09-22,172.9269256591797
2023-09-25,174.20315551757812
2023-09-26,170.12709045410156
2023-09-27,168.61338806152344
2023-09-28,168.87060546875
2023-09-29,169.3850860595703
2023-10-02,171.8979949951172
2023-10-03,170.56239318847656
2023-10-04,171.8089599609375
2023-10-05,173.045654296875
2023-10-06,175.59814453125
2023-10-09,177.0821533203125
2023-10-10,176.4885711669922
2023-10-11,177.883544921875
2023-10-12,178.7838134765625
2023-10-13,176.94366455078125
2023-10-16,176.81500244140625
2023-10-17,175.26174926757812
2023-10-18,173.96571350097656
2023-10-19,173.5897979736328
2023-10-20,171.03724670410156
2023-10-23,171.15599060058594
2023-10-24,171.59130859375
2023-10-25,169.2762451171875
2023-10-26,165.11111450195312
2023-10-27,166.4269561767578
2023-10-30,168.47486877441406
2023-10-31,168.94976806640625
2023-11-01,172.1156463623047
2023-11-02,175.67727661132812
2023-11-03,174.76707458496094
2023-11-06,177.31959533691406
2023-11-07,179.8820037841797
2023-11-08,180.94056701660156
2023-11-09,180.46568298339844
2023-11-10,184.65609741210938
2023-11-13,183.07107543945312
2023-11-14,185.6864013671875
2023-11-15,186.2510528564453
2023-11-16,187.9351348876953
2023-11-17,187.91534423828125
2023-11-20,189.65887451171875
2023-11-21,188.8564453125
2023-11-22,189.52015686035156
2023-11-24,188.19271850585938
2023-11-27,188.01438903808594
2023-11-28,188.61866760253906
2023-11-29,187.5983123779297
2023-11-30,188.1728973388672
2023-12-01,189.45083618164062
2023-12-04,187.65777587890625
2023-12-05,191.61045837402344
2023-12-06,190.52073669433594
2023-12-07,192.45248413085938
2023-12-08,193.87901306152344
2023-12-11,191.3726806640625
2023-12-12,192.8883819580078
2023-12-13,196.1079559326172
2023-12-14,196.25656127929688
2023-12-15,195.7216339111328
2023-12-18,194.05734252929688
2023-12-19,195.0974884033203
2023-12-20,193.00726318359375
2023-12-21,192.858642578125
2023-12-22,191.78875732421875
2023-12-26,191.24391174316406
2023-12-27,191.3429718017578
2023-12-28,191.7689666748047
2023-12-29,190.728759765625
2024-01-02,183.90325927734375
2024-01-03,182.5262451171875
2024-01-04,180.2081298828125
2024-01-05,179.4849395751953
2024-01-08,183.823974609375
2024-01-09,183.4079132080078
2024-01-10,184.44808959960938
2024-01-11,183.8536834716797
2024-01-12,184.18060302734375
2024-01-16,181.91204833984375
2024-01-17,180.97093200683594
2024-01-18,186.86524963378906
2024-01-19,189.76783752441406
2024-01-22,192.07601928710938
2024-01-23,193.35398864746094
2024-01-24,192.68032836914062
2024-01-25,192.35342407226562
2024-01-26,190.61978149414062
2024-01-29,189.9362335205078
2024-01-30,186.28079223632812
2024-01-31,182.67483520507812
2024-02-01,185.11181640625
2024-02-02,184.11126708984375
2024-02-05,185.92413330078125
2024-02-06,187.5289764404297
2024-02-07,187.637939453125
2024-02-08,186.5581817626953
2024-02-09,187.32192993164062
2024-02-12,185.63568115234375
2024-02-13,183.54273986816406
2024-02-14,182.65994262695312
2024-02-15,182.37229919433594
2024-02-16,180.83485412597656
2024-02-20,180.09088134765625
2024-02-21,180.8447723388672
2024-02-22,182.87818908691406
2024-02-23,181.0431365966797
2024-02-26,179.6941375732422
2024-02-27,181.15223693847656
2024-02-28,179.95205688476562
2024-02-29,179.28749084472656
2024-03-01,178.206298828125
2024-03-04,173.6831817626953
2024-03-05,168.74346923828125
2024-03-06,167.75155639648438
2024-03-07,167.63253784179688
2024-03-08,169.34852600097656
2024-03-11,171.35218811035156
2024-03-12,171.82830810546875
2024-03-13,169.74533081054688
2024-03-14,171.6001434326172
2024-03-15,171.22325134277344
2024-03-18,172.31436157226562
2024-03-19,174.6552276611328
2024-03-20,177.22430419921875
2024-03-21,169.9833526611328
2024-03-22,170.88601684570312
2024-03-25,169.4675750732422
2024-03-26,168.3367919921875
2024-03-27,171.90768432617188
2024-03-28,170.0924530029297
2024-04-01,168.65420532226562
2024-04-02,167.4738311767578
2024-04-03,168.2772674560547
2024-04-04,167.45401000976562
2024-04-05,168.20785522460938
2024-04-08,167.0869903564453
2024-04-09,168.29710388183594
2024-04-10,166.4224090576172
2024-04-11,173.62367248535156
2024-04-12,175.12144470214844
2024-04-15,171.29269409179688
2024-04-16,168.00946044921875
2024-04-17,166.640625
2024-04-18,165.6884002685547
2024-04-19,163.66488647460938
2024-04-22,164.4980926513672
2024-04-23,165.54953002929688
2024-04-24,167.6523895263672
2024-04-25,168.5153350830078
2024-04-26,167.9300994873047
2024-04-29,172.09613037109375
2024-04-30,168.95176696777344
2024-05-01,167.9300994873047
2024-05-02,171.6299285888672
2024-05-03,181.89617919921875
